Ticket ID,Ticket channel,Assignee ID,Assignee name,Requester ID,Requester name,Ticket subject,Requester created - Timestamp,Ticket created - Timestamp,Ticket solved - Timestamp,Tickets
3435272,Any channel,405257525413,Agent Sosmed 4,27064719563033,vianovia94,[IGC] Minimal opo boloo... ......#relsvideo #relsstory #fypã‚· #foryou,2024-01-01T00:03:30,2024-01-01T00:03:30,2024-01-01T00:30:56,1.00000000000000000000
3435273,Facebook,405257335633,Agent Sosmed 3,27064768687769,Masruroh Sodikin,P,2024-01-01T00:04:15,2024-01-01T00:04:15,2024-01-01T00:46:27,1.00000000000000000000
